Programa,id_log_view,user_log_view,Anio,Fecha,Status_pct,Horas_uso_raw,Horas_uso_ajustada,Nivel,Tipo_nivel,Area_Conocimiento,Componente_academico,ID_SIS,Es_interno
IQS,8994fbf9d412455581152136,000777e0998044f3b82a624a,2024,2024-02-01,25.0,0.04,0.04,6° Grado,Grado,Lengua Española,Componente 2,103142,False
IQS,cc6e51bc0f1d464c8b9f58a3,76c53d3b8a744c00b63ac606,2023,2023-07-14,25.0,1.01,1.01,6° Grado,Grado,Matemáticas,Componente 21,103845,False
IQS,1f8562899d3641fabac13108,fed71366c4e643349d154d29,2025,2025-12-23,75.0,0.29,0.29,4° Grado,Grado,Ciencias Sociales,Componente 42,105152,False
IQS,d13868c501d14c45822e1863,c38033cf3de647e98c9ca1df,2023,2023-11-20,25.0,0.02,0.02,3° Grado,Grado,Matemáticas,Componente 27,103524,False
IQS,d1c0ec53a865469f9f46f1ff,29fec145783948e49ea9a6ec,2025,2025-02-09,,0.81,0.81,4° Grado,Grado,Lengua Española,Componente 22,102777,False
IQS,973a0822ebfb42ebba06501d,d269cc53ea4043b1ab3d1db2,2024,2024-05-28,100.0,0.58,0.58,6° Grado,Grado,Ciencias de la Naturaleza,Componente 54,100831,False
IQS,940fa8d09cc54459a1c3f5cd,a3cf4fe919384fc0ac8f4fe1,2025,2025-02-23,,2.68,2.68,2° Grado,Grado,Lengua Española,Componente 42,101637,False
IQS,94b477812c134eef96f33693,a3cf4fe919384fc0ac8f4fe1,2024,2024-10-21,25.0,0.59,0.59,6° Grado,Grado,Ciencias de la Naturaleza,Componente 27,101637,False
IQS,a6426183b82f4865a70c21a4,e4cfdb3a24234354b75ba10f,2024,2024-03-05,,1.36,1.36,5° Grado,Grado,Matemáticas,Componente 41,103980,False
IQS,58dc69b332a249048a5cd6a9,bf886d550c824a6b83bf6d11,2023,2023-10-29,,0.04,0.04,6° Grado,Grado,Matemáticas,Componente 3,102526,False
IQS,44fe87ab76314e288ffe43ac,6f228061777f4db7bef0ecf1,2023,2023-12-24,25.0,0.33,0.33,6° Grado,Grado,Lengua Española,Componente 9,102956,False
IQS,91b1f771123f491b98d9a043,fea9e9f190a54701a7e6ec07,2023,2023-11-27,100.0,0.23,0.23,2° Grado,Grado,Lengua Española,Componente 21,102176,False
IQS,2d6c662fda1d40909e012abe,000777e0998044f3b82a624a,2024,2024-08-13,,0.49,0.49,6° Grado,Grado,Matemáticas,Componente 26,103142,False
IQS,ccfb52409fa546ef90d5e1cb,0441b916b8e74bbebf0e3b5e,2023,2023-02-06,,1.97,1.97,1° Grado,Grado,Ciencias de la Naturaleza,Componente 5,102815,False
IQS,4ed3c861b8fc4ea9a7350152,90aa0c4bb4cc4625a1ddc3f0,2023,2023-04-11,,0.02,0.02,6° Grado,Grado,Lengua Española,Componente 50,105151,False
