Anio,Mes,Programa,usuarios_facturados,horas_facturados
2024,3,IQP,3010.0,4611.0
2024,3,IQS,5594.0,6596.0
2024,3,IQ512,303.0,308.0
2024,4,IQP,5878.0,8899.0
2024,4,IQS,11777.0,14447.0
2024,4,IQ512,350.0,389.0
2024,5,IQP,1702.0,1432.0
2024,5,IQS,36850.0,40915.0
2024,5,IQ512,343.0,468.0
2024,6,IQP,667.0,444.0
2024,6,IQS,28138.0,46059.0
2024,6,IQ512,692.0,830.0
2024,7,IQP,90.0,111.0
2024,7,IQS,1257.0,1051.0
2024,7,IQ512,1910.0,4562.0
2024,8,IQP,143.0,139.0
2024,8,IQS,1609.0,1917.0
2024,8,IQ512,1151.0,4054.0
2024,9,IQP,175.0,192.0
2024,9,IQS,928.0,777.0
2024,9,IQ512,1649.0,7468.0
2024,10,IQP,156.0,224.5
2024,10,IQS,1131.0,1152.85
2024,10,IQ512,1789.0,6680.8
2024,11,IQP,126.0,174.6
2024,11,IQS,1222.0,867.9
2024,11,IQ512,1472.0,7633.3
2024,12,IQP,48.0,47.7
2024,12,IQS,426.0,331.8
2024,12,IQ512,1318.0,4699.8
2025,1,IQP,146.0,174.26
2025,1,IQS,2117.0,1918.34
2025,1,IQ512,348.0,625.16
2025,2,IQP,143.0,182.46
2025,2,IQS,2725.0,2323.78
2025,2,IQ512,201.0,250.94
2025,3,IQP,337.0,275.48
2025,3,IQS,4408.0,4938.74
2025,3,IQ512,403.0,310.94
2025,4,IQP,451.0,393.35
2025,4,IQS,7625.0,8387.56
2025,4,IQ512,306.0,182.73
2025,5,IQP,496.0,599.44
2025,5,IQS,22938.0,27269.92
2025,5,IQ512,215.0,191.82
2025,6,IQP,120.0,93.93
2025,6,IQS,25664.0,29591.53
2025,6,IQ512,133.0,117.25
2025,7,IQP,40.0,71.88
2025,7,IQS,1022.0,813.34
2025,7,IQ512,87.0,96.43
2025,8,IQP,83.0,136.15
2025,8,IQS,1153.0,672.97
2025,8,IQ512,63.0,52.85
2025,9,IQP,59.0,109.19
2025,9,IQS,1433.0,852.07
2025,9,IQ512,59.0,59.61
2025,10,IQP,59.0,77.22
2025,10,IQS,1123.0,950.37
2025,10,IQ512,54.0,53.28
2025,11,IQP,61.0,90.33
2025,11,IQS,60.0,525.71
2025,11,IQ512,927.0,43.72
2025,12,IQP,23.0,29.98
2025,12,IQS,28.0,399.62
2025,12,IQ512,595.0,15.28
2026,1,IQP,68.0,82.0
2026,1,IQS,1849.0,1296.0
2026,1,IQ512,32.0,24.0
2026,2,IQP,54.0,81.0
2026,2,IQS,3427.0,4783.0
2026,2,IQ512,25.0,16.0
2026,3,IQP,53.0,72.0
2026,3,IQS,3818.0,3961.0
2026,3,IQ512,47.0,38.0
2026,4,IQP,74.0,61.0
2026,4,IQS,7713.0,8095.0
2026,4,IQ512,72.0,73.0
2026,5,IQP,145.0,131.0
2026,5,IQS,27881.0,31104.0
2026,5,IQ512,574.0,1958.0
2026,6,IQP,113.0,132.0
2026,6,IQS,33093.0,43545.0
2026,6,IQ512,317.0,956.0
2026,7,IQP,16.0,38.0
2026,7,IQS,762.0,1956.0
2026,7,IQ512,31.0,20.0
2026,8,IQP,35.0,66.0
2026,8,IQS,780.0,2079.0
2026,8,IQ512,30.0,19.0
