provincia,latitud,longitud
Distrito Nacional,18.4861,-69.9312
Azua,18.4539,-70.7358
Bahoruco,18.4864,-71.4162
Barahona,18.2085,-71.1009
Dajabon,19.5490,-71.7076
Duarte,19.3008,-70.2540
Elias Pina,18.8730,-71.6847
El Seibo,18.7683,-69.0394
Espaillat,19.3944,-70.5269
Hato Mayor,18.7667,-69.2500
Hermanas Mirabal,19.3833,-70.4167
Independencia,18.4917,-71.8500
La Altagracia,18.6167,-68.7000
La Romana,18.4273,-68.9728
La Vega,19.2233,-70.5298
Maria Trinidad Sanchez,19.3833,-69.8500
Monsenor Nouel,18.9333,-70.4167
Monte Cristi,19.8500,-71.6500
Monte Plata,18.8083,-69.7833
Pedernales,18.0383,-71.7417
Peravia,18.2792,-70.3319
Puerto Plata,19.7934,-70.6884
Samana,19.2058,-69.3378
San Cristobal,18.4167,-70.1000
San Jose de Ocoa,18.5442,-70.5028
San Juan,18.8058,-71.2297
San Pedro de Macoris,18.4539,-69.3081
Sanchez Ramirez,19.0500,-70.1500
Santiago,19.4500,-70.6970
Santiago Rodriguez,19.5000,-71.3167
Santo Domingo,18.5000,-69.9000
Valverde,19.5500,-71.1000
