region_norm,latitud,longitud
AZUA,18.4539,-70.7358
BAHORUCO,18.4864,-71.4162
BARAHONA,18.2085,-71.1009
COTUI,19.0500,-70.1500
HIGUEY,18.6167,-68.7000
LA VEGA,19.2233,-70.5298
MAO,19.5500,-71.1000
MONTE CRISTI,19.8500,-71.6500
MONTE PLATA,18.8083,-69.7833
NAGUA,19.3833,-69.8500
PUERTO PLATA,19.7934,-70.6884
SAN CRISTOBAL,18.4167,-70.1000
SAN FRANCISCO DE MACORIS,19.3008,-70.2540
SAN JUAN DE LA MAGUANA,18.8058,-71.2297
SAN PEDRO DE MACORIS,18.4539,-69.3081
SANTIAGO,19.4500,-70.6970
SANTO DOMINGO,18.5000,-69.9000
