desde,hasta,alianzas_cubiertas,plataformas_cubiertas
2021-02-15,2021-12-22,IQ Primaria unicamente,lms unicamente
2021-12-23,2022-01-03,SIN DATOS (hueco confirmado),-
2022-01-04,2022-12-31,Todas las alianzas,lms unicamente
2023-01-01,2023-03-31,Todas las alianzas,lms unicamente
2023-04-01,2023-04-30,Todas las alianzas,lms unicamente
2023-05-01,2023-05-31,Todas las alianzas,lms unicamente
2023-06-01,2023-06-14,SIN DATOS (hueco confirmado),-
2023-06-15,2023-06-30,Todas las alianzas,lms + app movil
2023-07-01,2023-09-30,Todas las alianzas,lms + app movil
2023-10-01,2023-10-14,Todas las alianzas,lms + app movil
2023-10-15,2023-10-31,Todas las alianzas,lms + app movil
2023-11-01,2023-12-31,Todas las alianzas,lms + app movil
2024-01-01,2024-04-30,Todas las alianzas,lms + app movil
2024-05-01,2024-05-31,Todas las alianzas,lms + app movil
2024-06-01,2024-06-30,Todas las alianzas,lms + app movil
2024-07-01,2024-12-31,Todas las alianzas,lms + app movil
2025-01-01,2025-05-31,Todas las alianzas,lms + app movil
2025-06-01,2025-12-31,Todas las alianzas,lms + app movil
2026-01-01,2026-05-31,Todas las alianzas,lms + app movil
2026-06-01,2026-08-31,Todas las alianzas,lms + app movil
2026-09-01,2026-09-22,Todas las alianzas,lms + app movil
