Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2021,IQP,Admin,No especificado,Sin ubicación,1,0.4,13
2021,IQP,Docente,6to grado,BARAHONA,3,0.1,3
2021,IQP,Docente,6to grado,MAO,4,0.1,7
2021,IQP,Docente,6to grado,SANTO DOMINGO,6,0.5,17
2021,IQP,Docente,6to grado,Sin ubicación,10,0.3,10
2021,IQP,Docente,No especificado,NAGUA,1,0.1,1
2021,IQP,Docente,No especificado,Sin ubicación,2,0.0,2
2021,IQP,Estudiante,1er grado,HIGUEY,1,0.1,2
2021,IQP,Estudiante,1er grado,SANTO DOMINGO,5,0.7,14
2021,IQP,Estudiante,1er grado,Sin ubicación,3,1.1,25
2021,IQP,Estudiante,2do grado,LA VEGA,1,0.1,3
2021,IQP,Estudiante,2do grado,SANTO DOMINGO,1,0.2,5
2021,IQP,Estudiante,3er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2021,IQP,Estudiante,3er grado,SANTO DOMINGO,2,0.0,2
2021,IQP,Estudiante,3er grado,Sin ubicación,1,0.0,2
2021,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.1,4
2021,IQP,Estudiante,4to grado,SANTO DOMINGO,5,0.4,8
2021,IQP,Estudiante,4to grado,Sin ubicación,1,0.1,1
2021,IQP,Estudiante,5to grado,BAHORUCO,1,0.6,11
2021,IQP,Estudiante,5to grado,LA VEGA,1,0.0,1
2021,IQP,Estudiante,5to grado,SANTO DOMINGO,4,0.1,6
2021,IQP,Estudiante,6to grado,SANTO DOMINGO,4,1.1,17
2021,IQP,Estudiante,6to grado,Sin ubicación,6,4.5,112
2021,IQP,Estudiante,No especificado,Sin ubicación,20,8.8,174
2021,IQP,Parent,No especificado,Sin ubicación,12,0.8,24
2021,IQP,Sin rol,No especificado,Sin ubicación,2,5.2,88
2022,IQ512,Admin,No especificado,Sin ubicación,3,18.9,9
2022,IQ512,Editor,No especificado,Sin ubicación,1,651.7,38
2022,IQ512,Estudiante,No especificado,AZUA,304,1136.2,320
2022,IQ512,Estudiante,No especificado,BAHORUCO,24,132.5,29
2022,IQ512,Estudiante,No especificado,BARAHONA,198,271.5,209
2022,IQ512,Estudiante,No especificado,COTUI,47,454.3,58
2022,IQ512,Estudiante,No especificado,HIGUEY,232,1109.4,239
2022,IQ512,Estudiante,No especificado,LA VEGA,508,2113.0,535
2022,IQ512,Estudiante,No especificado,MAO,56,275.9,58
2022,IQ512,Estudiante,No especificado,MONTE CRISTI,59,322.0,68
2022,IQ512,Estudiante,No especificado,MONTE PLATA,21,30.5,24
2022,IQ512,Estudiante,No especificado,NAGUA,58,154.6,62
2022,IQ512,Estudiante,No especificado,PUERTO PLATA,188,565.5,197
2022,IQ512,Estudiante,No especificado,SAN CRISTOBAL,257,591.4,282
2022,IQ512,Estudiante,No especificado,SAN FRANCISCO DE MACORIS,160,307.4,173
2022,IQ512,Estudiante,No especificado,SAN JUAN DE LA MAGUANA,111,247.1,118
2022,IQ512,Estudiante,No especificado,SAN PEDRO DE MACORIS,364,1361.2,379
2022,IQ512,Estudiante,No especificado,SANTIAGO,489,1338.6,501
2022,IQ512,Estudiante,No especificado,SANTO DOMINGO,3172,13255.2,3315
2022,IQ512,Estudiante,No especificado,Sin ubicación,13183,40758.8,13240
2022,IQ512,Sin rol,No especificado,Sin ubicación,1,0.8,1
2022,IQP,Admin,No especificado,Sin ubicación,1,114.4,40
2022,IQP,Docente,3er grado,BARAHONA,1,26.4,1
2022,IQP,Docente,3er grado,MAO,1,1.2,1
2022,IQP,Docente,3er grado,SAN PEDRO DE MACORIS,1,3.5,1
2022,IQP,Docente,3er grado,Sin ubicación,4,30.1,6
2022,IQP,Docente,4to grado,BARAHONA,1,29.4,8
2022,IQP,Docente,4to grado,LA VEGA,1,1.0,1
2022,IQP,Docente,4to grado,SAN PEDRO DE MACORIS,1,24.6,4
2022,IQP,Docente,4to grado,SANTIAGO,1,18.3,1
2022,IQP,Docente,4to grado,SANTO DOMINGO,5,22.9,5
2022,IQP,Docente,4to grado,Sin ubicación,12,42.0,17
2022,IQP,Docente,6to grado,AZUA,3,5.8,4
2022,IQP,Docente,6to grado,BAHORUCO,1,10.2,3
2022,IQP,Docente,6to grado,BARAHONA,5,299.4,58
2022,IQP,Docente,6to grado,COTUI,8,28.0,13
2022,IQP,Docente,6to grado,HIGUEY,5,42.5,12
2022,IQP,Docente,6to grado,LA VEGA,13,66.7,18
2022,IQP,Docente,6to grado,MAO,23,254.8,80
2022,IQP,Docente,6to grado,MONTE CRISTI,6,29.5,13
2022,IQP,Docente,6to grado,NAGUA,5,37.8,10
2022,IQP,Docente,6to grado,PUERTO PLATA,5,21.7,11
2022,IQP,Docente,6to grado,SAN CRISTOBAL,8,40.5,14
2022,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,4,29.1,4
2022,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,2,18.3,7
2022,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,5,4.7,5
2022,IQP,Docente,6to grado,SANTIAGO,19,252.9,44
2022,IQP,Docente,6to grado,SANTO DOMINGO,65,292.4,129
2022,IQP,Docente,6to grado,Sin ubicación,138,1059.9,278
2022,IQP,Estudiante,1er grado,BAHORUCO,1,0.6,1
2022,IQP,Estudiante,1er grado,BARAHONA,2,83.9,31
2022,IQP,Estudiante,1er grado,COTUI,2,15.5,9
2022,IQP,Estudiante,1er grado,HIGUEY,1,12.6,3
2022,IQP,Estudiante,1er grado,NAGUA,1,0.3,1
2022,IQP,Estudiante,1er grado,SAN CRISTOBAL,1,0.0,1
2022,IQP,Estudiante,1er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,2,8.0,3
