Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2021,2,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2021,2,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,2,IQP,Estudiante,No especificado,Sin ubicación,1,0.5,10
2021,2,IQP,Sin rol,No especificado,Sin ubicación,2,0.0,2
2021,3,IQP,Estudiante,No especificado,Sin ubicación,1,0.4,9
2021,4,IQP,Estudiante,No especificado,Sin ubicación,1,0.4,6
2021,5,IQP,Estudiante,No especificado,Sin ubicación,6,1.6,29
2021,5,IQP,Sin rol,No especificado,Sin ubicación,1,0.6,7
2021,6,IQP,Admin,No especificado,Sin ubicación,1,0.1,2
2021,6,IQP,Estudiante,No especificado,Sin ubicación,9,1.5,31
2021,6,IQP,Sin rol,No especificado,Sin ubicación,1,0.4,7
2021,7,IQP,Estudiante,6to grado,Sin ubicación,1,0.0,2
2021,7,IQP,Estudiante,No especificado,Sin ubicación,5,0.5,12
2021,7,IQP,Sin rol,No especificado,Sin ubicación,1,0.2,3
2021,8,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2021,8,IQP,Estudiante,6to grado,Sin ubicación,1,0.0,1
2021,8,IQP,Estudiante,No especificado,Sin ubicación,5,0.6,18
2021,8,IQP,Sin rol,No especificado,Sin ubicación,1,0.1,4
2021,9,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2021,9,IQP,Estudiante,1er grado,Sin ubicación,1,0.6,9
2021,9,IQP,Estudiante,6to grado,Sin ubicación,4,1.0,25
2021,9,IQP,Estudiante,No especificado,Sin ubicación,13,3.0,47
2021,9,IQP,Sin rol,No especificado,Sin ubicación,1,1.5,20
2021,10,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2021,10,IQP,Docente,6to grado,Sin ubicación,1,0.0,1
2021,10,IQP,Estudiante,1er grado,Sin ubicación,1,0.1,4
2021,10,IQP,Estudiante,6to grado,Sin ubicación,5,1.6,34
2021,10,IQP,Estudiante,No especificado,Sin ubicación,7,0.2,8
2021,10,IQP,Sin rol,No especificado,Sin ubicación,1,0.9,18
2021,11,IQP,Admin,No especificado,Sin ubicación,1,0.1,4
2021,11,IQP,Docente,6to grado,BARAHONA,3,0.1,3
2021,11,IQP,Docente,6to grado,MAO,4,0.1,7
2021,11,IQP,Docente,6to grado,SANTO DOMINGO,3,0.2,7
2021,11,IQP,Docente,6to grado,Sin ubicación,9,0.2,9
2021,11,IQP,Docente,No especificado,NAGUA,1,0.1,1
2021,11,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,11,IQP,Estudiante,1er grado,HIGUEY,1,0.1,2
2021,11,IQP,Estudiante,1er grado,SANTO DOMINGO,2,0.4,7
2021,11,IQP,Estudiante,1er grado,Sin ubicación,3,0.5,10
2021,11,IQP,Estudiante,2do grado,LA VEGA,1,0.1,3
2021,11,IQP,Estudiante,2do grado,SANTO DOMINGO,1,0.2,4
2021,11,IQP,Estudiante,3er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2021,11,IQP,Estudiante,3er grado,SANTO DOMINGO,2,0.0,2
2021,11,IQP,Estudiante,3er grado,Sin ubicación,1,0.0,1
2021,11,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.1,4
2021,11,IQP,Estudiante,4to grado,SANTO DOMINGO,3,0.1,5
2021,11,IQP,Estudiante,4to grado,Sin ubicación,1,0.1,1
2021,11,IQP,Estudiante,5to grado,BAHORUCO,1,0.5,8
2021,11,IQP,Estudiante,5to grado,LA VEGA,1,0.0,1
2021,11,IQP,Estudiante,5to grado,SANTO DOMINGO,3,0.1,3
2021,11,IQP,Estudiante,6to grado,SANTO DOMINGO,4,0.8,12
2021,11,IQP,Estudiante,6to grado,Sin ubicación,6,1.6,38
2021,11,IQP,Estudiante,No especificado,Sin ubicación,4,0.1,4
2021,11,IQP,Parent,No especificado,Sin ubicación,11,0.3,13
2021,11,IQP,Sin rol,No especificado,Sin ubicación,1,1.1,15
2021,12,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2021,12,IQP,Docente,6to grado,SANTO DOMINGO,5,0.4,10
2021,12,IQP,Estudiante,1er grado,SANTO DOMINGO,4,0.3,7
2021,12,IQP,Estudiante,1er grado,Sin ubicación,2,0.0,2
2021,12,IQP,Estudiante,2do grado,SANTO DOMINGO,1,0.0,1
2021,12,IQP,Estudiante,3er grado,Sin ubicación,1,0.0,1
2021,12,IQP,Estudiante,4to grado,SANTO DOMINGO,2,0.3,3
2021,12,IQP,Estudiante,5to grado,BAHORUCO,1,0.1,3
2021,12,IQP,Estudiante,5to grado,SANTO DOMINGO,3,0.1,3
2021,12,IQP,Estudiante,6to grado,SANTO DOMINGO,1,0.3,5
2021,12,IQP,Estudiante,6to grado,Sin ubicación,3,0.3,12
2021,12,IQP,Parent,No especificado,Sin ubicación,5,0.4,11
2021,12,IQP,Sin rol,No especificado,Sin ubicación,1,0.5,12
2022,1,IQP,Docente,6to grado,NAGUA,2,0.0,2
2022,1,IQP,Docente,6to grado,PUERTO PLATA,1,0.0,1
2022,1,IQP,Docente,6to grado,SANTO DOMINGO,4,0.5,10
2022,1,IQP,Estudiante,1er grado,SANTO DOMINGO,3,0.9,18
2022,1,IQP,Estudiante,1er grado,Sin ubicación,2,0.2,6
2022,1,IQP,Estudiante,2do grado,LA VEGA,1,0.1,2
2022,1,IQP,Estudiante,3er grado,SANTO DOMINGO,1,0.0,2
2022,1,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.1,3
2022,1,IQP,Estudiante,4to grado,SANTO DOMINGO,1,0.1,4
2022,1,IQP,Estudiante,5to grado,BAHORUCO,1,0.1,3
2022,1,IQP,Estudiante,5to grado,SANTO DOMINGO,3,0.2,5
2022,1,IQP,Estudiante,6to grado,SANTO DOMINGO,2,0.1,2
2022,1,IQP,Estudiante,6to grado,Sin ubicación,3,0.3,9
2022,1,IQP,Parent,No especificado,Sin ubicación,3,0.4,9
2022,1,IQP,Sin rol,No especificado,Sin ubicación,1,0.6,13
2022,2,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2022,2,IQP,Docente,6to grado,MAO,1,8.0,1
2022,2,IQP,Docente,6to grado,SAN CRISTOBAL,2,7.3,3
2022,2,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,0.2,1
2022,2,IQP,Docente,6to grado,SANTO DOMINGO,2,1.6,5
2022,2,IQP,Docente,6to grado,Sin ubicación,5,12.0,9
2022,2,IQP,Estudiante,1er grado,BAHORUCO,1,0.6,1
2022,2,IQP,Estudiante,1er grado,SANTO DOMINGO,5,49.6,16
2022,2,IQP,Estudiante,1er grado,Sin ubicación,2,4.0,4
2022,2,IQP,Estudiante,2do grado,LA VEGA,1,0.1,2
2022,2,IQP,Estudiante,2do grado,SANTO DOMINGO,2,0.9,2
2022,2,IQP,Estudiante,2do grado,Sin ubicación,1,25.8,6
2022,2,IQP,Estudiante,3er grado,BAHORUCO,1,1.2,1
2022,2,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,5.2,4
2022,2,IQP,Estudiante,3er grado,SANTO DOMINGO,4,5.1,4
2022,2,IQP,Estudiante,3er grado,Sin ubicación,2,3.1,3
2022,2,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.0,2
2022,2,IQP,Estudiante,4to grado,SANTO DOMINGO,4,15.5,7
2022,2,IQP,Estudiante,5to grado,BAHORUCO,1,2.0,5
2022,2,IQP,Estudiante,5to grado,SANTO DOMINGO,3,1.2,3
2022,2,IQP,Estudiante,6to grado,BAHORUCO,1,64.6,7
2022,2,IQP,Estudiante,6to grado,SANTO DOMINGO,7,14.1,10
2022,2,IQP,Estudiante,6to grado,Sin ubicación,4,42.6,19
2022,2,IQP,Estudiante,No especificado,Sin ubicación,1,0.1,1
2022,2,IQP,Parent,No especificado,Sin ubicación,4,7.3,7
2022,2,IQP,Sin rol,No especificado,Sin ubicación,2,178.5,19
2022,3,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2022,3,IQP,Docente,6to grado,COTUI,1,0.1,1
2022,3,IQP,Docente,6to grado,HIGUEY,2,15.3,4
2022,3,IQP,Docente,6to grado,MAO,1,3.8,1
2022,3,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,1.4,1
2022,3,IQP,Docente,6to grado,SANTIAGO,6,80.6,14
2022,3,IQP,Docente,6to grado,SANTO DOMINGO,3,2.4,3
2022,3,IQP,Docente,6to grado,Sin ubicación,13,85.0,22
2022,3,IQP,Estudiante,1er grado,SANTO DOMINGO,4,26.7,11
2022,3,IQP,Estudiante,1er grado,Sin ubicación,2,1.5,3
2022,3,IQP,Estudiante,2do grado,SANTO DOMINGO,1,10.5,1
2022,3,IQP,Estudiante,2do grado,Sin ubicación,2,80.0,8
2022,3,IQP,Estudiante,3er grado,SANTIAGO,2,9.6,2
2022,3,IQP,Estudiante,3er grado,Sin ubicación,3,0.2,3
2022,3,IQP,Estudiante,4to grado,PUERTO PLATA,1,1.5,1
2022,3,IQP,Estudiante,4to grado,SANTO DOMINGO,3,8.4,7
2022,3,IQP,Estudiante,4to grado,Sin ubicación,2,2.0,4
2022,3,IQP,Estudiante,5to grado,BARAHONA,1,11.7,4
2022,3,IQP,Estudiante,5to grado,SANTO DOMINGO,1,1.1,1
2022,3,IQP,Estudiante,5to grado,Sin ubicación,1,2.6,1
2022,3,IQP,Estudiante,6to grado,BAHORUCO,1,38.0,3
2022,3,IQP,Estudiante,6to grado,HIGUEY,2,5.8,2
2022,3,IQP,Estudiante,6to grado,LA VEGA,9,25.8,13
2022,3,IQP,Estudiante,6to grado,MONTE CRISTI,2,0.5,2
2022,3,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,4.2,2
