Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2021,S1,IQP,Admin,No especificado,Sin ubicación,1,0.1,3
2021,S1,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,S1,IQP,Estudiante,No especificado,Sin ubicación,9,4.4,85
2021,S1,IQP,Sin rol,No especificado,Sin ubicación,2,1.0,16
2021,S2,IQP,Admin,No especificado,Sin ubicación,1,0.2,10
2021,S2,IQP,Docente,6to grado,BARAHONA,3,0.1,3
2021,S2,IQP,Docente,6to grado,MAO,4,0.1,7
2021,S2,IQP,Docente,6to grado,SANTO DOMINGO,6,0.5,17
2021,S2,IQP,Docente,6to grado,Sin ubicación,10,0.3,10
2021,S2,IQP,Docente,No especificado,NAGUA,1,0.1,1
2021,S2,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,S2,IQP,Estudiante,1er grado,HIGUEY,1,0.1,2
2021,S2,IQP,Estudiante,1er grado,SANTO DOMINGO,5,0.7,14
2021,S2,IQP,Estudiante,1er grado,Sin ubicación,3,1.1,25
2021,S2,IQP,Estudiante,2do grado,LA VEGA,1,0.1,3
2021,S2,IQP,Estudiante,2do grado,SANTO DOMINGO,1,0.2,5
2021,S2,IQP,Estudiante,3er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2021,S2,IQP,Estudiante,3er grado,SANTO DOMINGO,2,0.0,2
2021,S2,IQP,Estudiante,3er grado,Sin ubicación,1,0.0,2
2021,S2,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.1,4
2021,S2,IQP,Estudiante,4to grado,SANTO DOMINGO,5,0.4,8
2021,S2,IQP,Estudiante,4to grado,Sin ubicación,1,0.1,1
2021,S2,IQP,Estudiante,5to grado,BAHORUCO,1,0.6,11
2021,S2,IQP,Estudiante,5to grado,LA VEGA,1,0.0,1
2021,S2,IQP,Estudiante,5to grado,SANTO DOMINGO,4,0.1,6
2021,S2,IQP,Estudiante,6to grado,SANTO DOMINGO,4,1.1,17
2021,S2,IQP,Estudiante,6to grado,Sin ubicación,6,4.5,112
2021,S2,IQP,Estudiante,No especificado,Sin ubicación,19,4.3,89
2021,S2,IQP,Parent,No especificado,Sin ubicación,12,0.8,24
2021,S2,IQP,Sin rol,No especificado,Sin ubicación,1,4.2,72
2022,S1,IQP,Admin,No especificado,Sin ubicación,1,0.1,8
2022,S1,IQP,Docente,6to grado,AZUA,2,0.4,2
2022,S1,IQP,Docente,6to grado,BAHORUCO,1,10.2,3
2022,S1,IQP,Docente,6to grado,BARAHONA,3,149.5,24
2022,S1,IQP,Docente,6to grado,COTUI,7,27.4,12
