Anio,Trimestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2021,Q1,IQP,Admin,No especificado,Sin ubicación,1,0.0,1
2021,Q1,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,Q1,IQP,Estudiante,No especificado,Sin ubicación,1,1.0,19
2021,Q1,IQP,Sin rol,No especificado,Sin ubicación,2,0.0,2
2021,Q2,IQP,Admin,No especificado,Sin ubicación,1,0.1,2
2021,Q2,IQP,Estudiante,No especificado,Sin ubicación,9,3.5,66
2021,Q2,IQP,Sin rol,No especificado,Sin ubicación,1,0.9,14
2021,Q3,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2021,Q3,IQP,Estudiante,1er grado,Sin ubicación,1,0.6,9
2021,Q3,IQP,Estudiante,6to grado,Sin ubicación,4,1.1,28
2021,Q3,IQP,Estudiante,No especificado,Sin ubicación,14,4.0,77
2021,Q3,IQP,Sin rol,No especificado,Sin ubicación,1,1.8,27
2021,Q4,IQP,Admin,No especificado,Sin ubicación,1,0.2,8
2021,Q4,IQP,Docente,6to grado,BARAHONA,3,0.1,3
2021,Q4,IQP,Docente,6to grado,MAO,4,0.1,7
2021,Q4,IQP,Docente,6to grado,SANTO DOMINGO,6,0.5,17
2021,Q4,IQP,Docente,6to grado,Sin ubicación,10,0.3,10
2021,Q4,IQP,Docente,No especificado,NAGUA,1,0.1,1
2021,Q4,IQP,Docente,No especificado,Sin ubicación,1,0.0,1
2021,Q4,IQP,Estudiante,1er grado,HIGUEY,1,0.1,2
2021,Q4,IQP,Estudiante,1er grado,SANTO DOMINGO,5,0.7,14
2021,Q4,IQP,Estudiante,1er grado,Sin ubicación,3,0.6,16
2021,Q4,IQP,Estudiante,2do grado,LA VEGA,1,0.1,3
2021,Q4,IQP,Estudiante,2do grado,SANTO DOMINGO,1,0.2,5
2021,Q4,IQP,Estudiante,3er grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2021,Q4,IQP,Estudiante,3er grado,SANTO DOMINGO,2,0.0,2
2021,Q4,IQP,Estudiante,3er grado,Sin ubicación,1,0.0,2
2021,Q4,IQP,Estudiante,4to grado,PUERTO PLATA,1,0.1,4
2021,Q4,IQP,Estudiante,4to grado,SANTO DOMINGO,5,0.4,8
2021,Q4,IQP,Estudiante,4to grado,Sin ubicación,1,0.1,1
2021,Q4,IQP,Estudiante,5to grado,BAHORUCO,1,0.6,11
2021,Q4,IQP,Estudiante,5to grado,LA VEGA,1,0.0,1
2021,Q4,IQP,Estudiante,5to grado,SANTO DOMINGO,4,0.1,6
2021,Q4,IQP,Estudiante,6to grado,SANTO DOMINGO,4,1.1,17
2021,Q4,IQP,Estudiante,6to grado,Sin ubicación,6,3.5,84
2021,Q4,IQP,Estudiante,No especificado,Sin ubicación,10,0.3,12
2021,Q4,IQP,Parent,No especificado,Sin ubicación,12,0.8,24
2021,Q4,IQP,Sin rol,No especificado,Sin ubicación,1,2.5,45
2022,Q1,IQP,Admin,No especificado,Sin ubicación,1,0.0,3
2022,Q1,IQP,Docente,6to grado,COTUI,1,0.1,1
2022,Q1,IQP,Docente,6to grado,HIGUEY,2,15.3,4
2022,Q1,IQP,Docente,6to grado,MAO,2,11.8,2
2022,Q1,IQP,Docente,6to grado,NAGUA,2,0.0,2
2022,Q1,IQP,Docente,6to grado,PUERTO PLATA,1,0.0,1
2022,Q1,IQP,Docente,6to grado,SAN CRISTOBAL,2,7.3,3
2022,Q1,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,1.6,2
2022,Q1,IQP,Docente,6to grado,SANTIAGO,6,80.6,14
2022,Q1,IQP,Docente,6to grado,SANTO DOMINGO,7,4.6,18
2022,Q1,IQP,Docente,6to grado,Sin ubicación,17,97.0,31
2022,Q1,IQP,Estudiante,1er grado,BAHORUCO,1,0.6,1
2022,Q1,IQP,Estudiante,1er grado,SANTO DOMINGO,6,77.2,45
2022,Q1,IQP,Estudiante,1er grado,Sin ubicación,4,5.7,13
2022,Q1,IQP,Estudiante,2do grado,LA VEGA,1,0.3,4
2022,Q1,IQP,Estudiante,2do grado,SANTO DOMINGO,3,11.4,3
2022,Q1,IQP,Estudiante,2do grado,Sin ubicación,2,105.8,14
