Anio,Mes,Alliance,app,usuarios_activos,horas_totales,registros
2021,2,IQ Primaria,lms,5,0.6,14
2021,3,IQ Primaria,lms,1,0.4,9
2021,4,IQ Primaria,lms,1,0.4,6
2021,5,IQ Primaria,lms,7,2.2,36
2021,6,IQ Primaria,lms,11,1.9,40
2021,7,IQ Primaria,lms,7,0.8,17
2021,8,IQ Primaria,lms,8,0.7,24
2021,9,IQ Primaria,lms,20,6.0,102
2021,10,IQ Primaria,lms,16,2.8,67
2021,11,IQ Primaria,lms,70,7.0,166
2021,12,IQ Primaria,lms,30,2.7,72
2022,1,IQ Primaria,lms,29,3.6,89
2022,2,IQ Primaria,lms,60,450.6,143
2022,3,IQ Primaria,lms,112,957.8,231
2022,4,IQ Primaria,lms,278,1816.3,505
2022,5,IQ Primaria,lms,577,3996.7,1262
2022,6,IQ Primaria,lms,224,1487.4,443
2022,7,IQ Primaria,lms,143,510.9,240
2022,8,IQ Primaria,lms,64,399.8,144
2022,8,IQ Secundaria,lms,4,392.4,16
2022,9,512,lms,1,0.2,1
2022,9,IQ Primaria,lms,79,588.5,165
2022,9,IQ Secundaria,lms,159,989.3,280
2022,10,512,lms,19396,63573.6,19445
2022,10,IQ Primaria,lms,115,1145.2,268
2022,10,IQ Secundaria,lms,426,3911.7,855
2022,11,512,lms,17,139.1,27
2022,11,IQ Primaria,lms,83,769.8,188
2022,11,IQ Secundaria,lms,369,2477.4,582
2022,12,512,lms,366,1383.9,382
2022,12,IQ Primaria,lms,40,552.7,101
2022,12,IQ Secundaria,lms,216,809.4,302
2023,1,512,lms,2648,196784.1,14793
2023,1,IQ Primaria,lms,103,1106.5,174
2023,1,IQ Secundaria,lms,652,2657.0,993
2023,2,512,lms,2634,205413.1,22137
2023,2,IQ Primaria,lms,172,965.3,271
2023,2,IQ Secundaria,lms,1294,5051.2,1939
2023,3,512,lms,2754,212529.8,22731
2023,3,IQ Primaria,lms,524,1876.7,711
2023,3,IQ Secundaria,lms,4070,12302.7,5276
2023,4,512,lms,2819,170415.8,18861
2023,4,IQ Primaria,lms,1359,5464.1,2154
2023,4,IQ Secundaria,lms,6883,30186.2,10861
2023,5,512,lms,2847,158534.1,19769
2023,5,IQ Primaria,lms,2895,12324.5,4688
2023,5,IQ Secundaria,lms,26423,146599.2,48121
2023,6,512,lms,2361,76646.4,9771
2023,6,IQ Primaria,lms,785,1470.2,866
2023,6,IQ Secundaria,app,3435,4879.3,5651
2023,6,IQ Secundaria,lms,26606,220357.6,60361
2023,7,512,lms,2892,156703.4,19538
2023,7,IQ Primaria,lms,132,853.8,207
2023,7,IQ Secundaria,app,560,410.6,727
2023,7,IQ Secundaria,lms,1720,5478.1,2697
2023,8,512,lms,2505,54551.2,8777
2023,8,IQ Primaria,lms,216,1328.9,343
2023,8,IQ Secundaria,app,368,349.3,565
2023,8,IQ Secundaria,lms,1916,7836.4,3208
2023,9,512,lms,1040,9937.9,2160
2023,9,IQ Primaria,lms,827,2883.0,1106
2023,9,IQ Secundaria,app,455,370.3,681
2023,9,IQ Secundaria,lms,2684,9712.7,4106
2023,10,512,lms,410,2164.0,673
2023,10,IQ Primaria,lms,40327,253791.1,72733
2023,10,IQ Secundaria,app,3497,4510.7,5454
2023,10,IQ Secundaria,lms,46916,318750.9,93586
2023,11,512,lms,309,401.6,458
2023,11,IQ Primaria,lms,15317,57214.6,25120
2023,11,IQ Secundaria,app,1303,1182.3,2031
2023,11,IQ Secundaria,lms,21006,70455.7,39860
2023,12,512,lms,179,107.4,250
2023,12,IQ Primaria,lms,1014,1110.4,1440
2023,12,IQ Secundaria,app,349,245.0,477
2023,12,IQ Secundaria,lms,2410,2685.6,3852
2024,1,512,lms,236,158.5,311
2024,1,IQ Primaria,lms,705,612.1,963
2024,1,IQ Secundaria,app,762,714.5,1188
2024,1,IQ Secundaria,lms,2557,1925.7,3899
2024,2,512,lms,236,169.5,323
2024,2,IQ Primaria,lms,1134,1121.5,1907
2024,2,IQ Secundaria,app,624,632.5,973
2024,2,IQ Secundaria,lms,3233,2638.3,5417
2024,3,512,lms,304,308.3,487
2024,3,IQ Primaria,lms,3036,4611.3,5189
2024,3,IQ Secundaria,app,1157,1169.0,1888
2024,3,IQ Secundaria,lms,5628,6595.4,9414
2024,4,512,lms,374,388.7,617
2024,4,IQ Primaria,lms,5925,8899.9,10087
2024,4,IQ Secundaria,app,2835,2874.5,4538
2024,4,IQ Secundaria,lms,12159,14447.2,21646
2024,5,512,lms,351,468.7,583
2024,5,IQ Primaria,lms,1735,1432.4,2237
2024,5,IQ Secundaria,app,13040,16096.9,23563
2024,5,IQ Secundaria,lms,37387,40914.8,71365
2024,6,512,lms,695,830.6,1179
2024,6,IQ Primaria,lms,668,444.0,785
2024,6,IQ Secundaria,app,10523,16371.9,21322
2024,6,IQ Secundaria,lms,28148,46059.9,61290
2024,7,512,lms,1914,4562.9,5093
2024,7,IQ Primaria,lms,93,111.2,144
2024,7,IQ Secundaria,app,459,418.2,698
