Anio,Mes,Alliance,Grado,usuarios_activos,horas_totales,registros
2021,2,IQ Primaria,No especificado,5,0.6,14
2021,3,IQ Primaria,No especificado,1,0.4,9
2021,4,IQ Primaria,No especificado,1,0.4,6
2021,5,IQ Primaria,No especificado,7,2.2,36
2021,6,IQ Primaria,No especificado,11,1.9,40
2021,7,IQ Primaria,6to grado,1,0.0,2
2021,7,IQ Primaria,No especificado,6,0.7,15
2021,8,IQ Primaria,6to grado,1,0.0,1
2021,8,IQ Primaria,No especificado,7,0.7,23
2021,9,IQ Primaria,1er grado,1,0.6,9
2021,9,IQ Primaria,6to grado,4,1.0,25
2021,9,IQ Primaria,No especificado,15,4.5,68
2021,10,IQ Primaria,1er grado,1,0.1,4
2021,10,IQ Primaria,6to grado,6,1.6,35
2021,10,IQ Primaria,No especificado,9,1.1,28
2021,11,IQ Primaria,1er grado,6,0.9,19
2021,11,IQ Primaria,2do grado,2,0.3,7
2021,11,IQ Primaria,3er grado,4,0.1,4
2021,11,IQ Primaria,4to grado,5,0.2,10
2021,11,IQ Primaria,5to grado,5,0.6,12
2021,11,IQ Primaria,6to grado,29,3.0,76
2021,11,IQ Primaria,No especificado,19,1.7,38
2021,12,IQ Primaria,1er grado,6,0.3,9
2021,12,IQ Primaria,2do grado,1,0.0,1
2021,12,IQ Primaria,3er grado,1,0.0,1
2021,12,IQ Primaria,4to grado,2,0.3,3
2021,12,IQ Primaria,5to grado,4,0.1,6
2021,12,IQ Primaria,6to grado,9,0.9,27
2021,12,IQ Primaria,No especificado,7,1.0,25
2022,1,IQ Primaria,1er grado,5,1.1,24
2022,1,IQ Primaria,2do grado,1,0.1,2
2022,1,IQ Primaria,3er grado,1,0.0,2
2022,1,IQ Primaria,4to grado,2,0.2,7
2022,1,IQ Primaria,5to grado,4,0.2,8
2022,1,IQ Primaria,6to grado,12,0.9,24
2022,1,IQ Primaria,No especificado,4,1.0,22
2022,2,IQ Primaria,1er grado,8,54.2,21
2022,2,IQ Primaria,2do grado,4,26.8,10
2022,2,IQ Primaria,3er grado,8,14.5,12
2022,2,IQ Primaria,4to grado,5,15.5,9
2022,2,IQ Primaria,5to grado,4,3.2,8
2022,2,IQ Primaria,6to grado,23,150.4,55
2022,2,IQ Primaria,No especificado,8,185.9,28
2022,3,IQ Primaria,1er grado,6,28.1,14
2022,3,IQ Primaria,2do grado,3,90.5,9
2022,3,IQ Primaria,3er grado,5,9.8,5
2022,3,IQ Primaria,4to grado,6,12.0,12
2022,3,IQ Primaria,5to grado,3,15.4,6
2022,3,IQ Primaria,6to grado,87,728.7,167
2022,3,IQ Primaria,No especificado,2,73.2,18
2022,4,IQ Primaria,1er grado,8,46.7,18
2022,4,IQ Primaria,2do grado,3,15.4,5
2022,4,IQ Primaria,3er grado,23,138.1,36
2022,4,IQ Primaria,4to grado,4,70.1,22
2022,4,IQ Primaria,5to grado,2,2.3,3
2022,4,IQ Primaria,6to grado,232,1394.9,395
2022,4,IQ Primaria,No especificado,6,148.7,26
2022,5,IQ Primaria,1er grado,14,30.9,31
2022,5,IQ Primaria,2do grado,8,74.4,24
2022,5,IQ Primaria,3er grado,149,1159.0,397
2022,5,IQ Primaria,4to grado,9,62.0,34
2022,5,IQ Primaria,5to grado,8,44.4,22
2022,5,IQ Primaria,6to grado,384,2367.6,731
2022,5,IQ Primaria,No especificado,5,258.4,23
2022,6,IQ Primaria,1er grado,5,33.7,10
2022,6,IQ Primaria,2do grado,9,20.4,12
2022,6,IQ Primaria,3er grado,56,494.0,128
2022,6,IQ Primaria,4to grado,5,55.4,18
2022,6,IQ Primaria,5to grado,5,36.9,9
2022,6,IQ Primaria,6to grado,141,606.2,243
2022,6,IQ Primaria,No especificado,3,240.8,23
2022,7,IQ Primaria,1er grado,5,13.7,9
2022,7,IQ Primaria,2do grado,5,18.5,7
2022,7,IQ Primaria,3er grado,14,32.9,18
2022,7,IQ Primaria,4to grado,5,65.7,14
2022,7,IQ Primaria,5to grado,8,65.1,21
2022,7,IQ Primaria,6to grado,103,190.3,151
2022,7,IQ Primaria,No especificado,3,124.6,20
2022,8,IQ Primaria,1er grado,8,27.0,13
2022,8,IQ Primaria,2do grado,3,24.1,11
2022,8,IQ Primaria,3er grado,12,51.9,21
2022,8,IQ Primaria,4to grado,6,45.3,13
2022,8,IQ Primaria,5to grado,9,21.7,19
2022,8,IQ Primaria,6to grado,23,118.3,44
2022,8,IQ Primaria,No especificado,3,111.5,23
2022,8,IQ Secundaria,6to grado,2,13.8,5
2022,8,IQ Secundaria,No especificado,2,378.6,11
2022,9,512,No especificado,1,0.2,1
2022,9,IQ Primaria,1er grado,11,48.5,22
2022,9,IQ Primaria,2do grado,4,14.3,10
2022,9,IQ Primaria,3er grado,7,19.1,13
2022,9,IQ Primaria,4to grado,6,32.5,11
2022,9,IQ Primaria,5to grado,3,11.0,8
