Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2021,2,IQ Primaria,Sin ubicación,5,0.6,14
2021,3,IQ Primaria,Sin ubicación,1,0.4,9
2021,4,IQ Primaria,Sin ubicación,1,0.4,6
2021,5,IQ Primaria,Sin ubicación,7,2.2,36
2021,6,IQ Primaria,Sin ubicación,11,1.9,40
2021,7,IQ Primaria,Sin ubicación,7,0.8,17
2021,8,IQ Primaria,Sin ubicación,8,0.7,24
2021,9,IQ Primaria,Sin ubicación,20,6.0,102
2021,10,IQ Primaria,Sin ubicación,16,2.8,67
2021,11,IQ Primaria,BAHORUCO,1,0.5,8
2021,11,IQ Primaria,BARAHONA,3,0.1,3
2021,11,IQ Primaria,HIGUEY,1,0.1,2
2021,11,IQ Primaria,LA VEGA,2,0.2,4
2021,11,IQ Primaria,MAO,4,0.1,7
2021,11,IQ Primaria,NAGUA,1,0.1,1
2021,11,IQ Primaria,PUERTO PLATA,1,0.1,4
2021,11,IQ Primaria,SAN FRANCISCO DE MACORIS,1,0.0,1
2021,11,IQ Primaria,SANTO DOMINGO,18,1.8,40
2021,11,IQ Primaria,Sin ubicación,38,4.0,96
2021,12,IQ Primaria,BAHORUCO,1,0.1,3
2021,12,IQ Primaria,SANTO DOMINGO,16,1.3,29
2021,12,IQ Primaria,Sin ubicación,13,1.3,40
2022,1,IQ Primaria,BAHORUCO,1,0.1,3
2022,1,IQ Primaria,LA VEGA,1,0.1,2
2022,1,IQ Primaria,NAGUA,2,0.0,2
2022,1,IQ Primaria,PUERTO PLATA,2,0.1,4
2022,1,IQ Primaria,SANTO DOMINGO,14,1.8,41
2022,1,IQ Primaria,Sin ubicación,9,1.5,37
2022,2,IQ Primaria,BAHORUCO,4,68.4,14
2022,2,IQ Primaria,LA VEGA,1,0.1,2
2022,2,IQ Primaria,MAO,1,8.0,1
2022,2,IQ Primaria,PUERTO PLATA,1,0.0,2
2022,2,IQ Primaria,SAN CRISTOBAL,3,12.4,7
2022,2,IQ Primaria,SAN JUAN DE LA MAGUANA,1,0.2,1
2022,2,IQ Primaria,SANTO DOMINGO,27,88.0,47
2022,2,IQ Primaria,Sin ubicación,22,273.5,69
2022,3,IQ Primaria,BAHORUCO,1,38.0,3
2022,3,IQ Primaria,BARAHONA,1,11.7,4
2022,3,IQ Primaria,COTUI,1,0.1,1
2022,3,IQ Primaria,HIGUEY,4,21.0,6
2022,3,IQ Primaria,LA VEGA,9,25.8,13
2022,3,IQ Primaria,MAO,1,3.8,1
2022,3,IQ Primaria,MONTE CRISTI,2,0.5,2
2022,3,IQ Primaria,PUERTO PLATA,1,1.5,1
2022,3,IQ Primaria,SAN JUAN DE LA MAGUANA,2,5.6,3
2022,3,IQ Primaria,SANTIAGO,22,299.1,55
2022,3,IQ Primaria,SANTO DOMINGO,23,66.3,37
2022,3,IQ Primaria,Sin ubicación,45,484.3,105
2022,4,IQ Primaria,BAHORUCO,3,2.8,3
2022,4,IQ Primaria,BARAHONA,2,32.3,7
2022,4,IQ Primaria,COTUI,10,57.6,20
2022,4,IQ Primaria,HIGUEY,17,61.2,26
2022,4,IQ Primaria,LA VEGA,4,13.0,5
2022,4,IQ Primaria,MAO,5,51.6,13
2022,4,IQ Primaria,MONTE CRISTI,2,12.5,4
2022,4,IQ Primaria,NAGUA,2,4.3,2
2022,4,IQ Primaria,PUERTO PLATA,2,18.6,4
2022,4,IQ Primaria,SAN FRANCISCO DE MACORIS,2,2.3,3
2022,4,IQ Primaria,SANTIAGO,33,247.3,65
2022,4,IQ Primaria,SANTO DOMINGO,76,348.7,129
2022,4,IQ Primaria,Sin ubicación,120,964.2,224
2022,5,IQ Primaria,AZUA,4,40.5,16
2022,5,IQ Primaria,BAHORUCO,10,30.1,20
2022,5,IQ Primaria,BARAHONA,4,139.2,26
2022,5,IQ Primaria,COTUI,7,36.8,20
2022,5,IQ Primaria,LA VEGA,19,126.6,41
2022,5,IQ Primaria,MAO,19,73.3,27
2022,5,IQ Primaria,MONTE CRISTI,3,9.7,5
2022,5,IQ Primaria,NAGUA,14,122.9,39
2022,5,IQ Primaria,PUERTO PLATA,3,1.5,4
2022,5,IQ Primaria,SAN CRISTOBAL,4,25.4,8
2022,5,IQ Primaria,SAN FRANCISCO DE MACORIS,3,2.3,3
2022,5,IQ Primaria,SAN JUAN DE LA MAGUANA,1,16.7,5
2022,5,IQ Primaria,SAN PEDRO DE MACORIS,2,0.2,2
2022,5,IQ Primaria,SANTIAGO,31,154.6,50
2022,5,IQ Primaria,SANTO DOMINGO,207,1191.8,415
2022,5,IQ Primaria,Sin ubicación,246,2024.9,581
2022,6,IQ Primaria,AZUA,3,21.6,5
