Anio,Mes,Alliance,roles_string,usuarios_activos,horas_totales,registros
2021,2,IQ Primaria,Admin,1,0.0,1
2021,2,IQ Primaria,Docente,1,0.0,1
2021,2,IQ Primaria,Estudiante,1,0.5,10
2021,2,IQ Primaria,,2,0.0,2
2021,3,IQ Primaria,Estudiante,1,0.4,9
2021,4,IQ Primaria,Estudiante,1,0.4,6
2021,5,IQ Primaria,Estudiante,6,1.6,29
2021,5,IQ Primaria,,1,0.6,7
2021,6,IQ Primaria,Admin,1,0.1,2
2021,6,IQ Primaria,Estudiante,9,1.5,31
2021,6,IQ Primaria,,1,0.4,7
2021,7,IQ Primaria,Estudiante,6,0.5,14
2021,7,IQ Primaria,,1,0.2,3
2021,8,IQ Primaria,Admin,1,0.0,1
2021,8,IQ Primaria,Estudiante,6,0.6,19
2021,8,IQ Primaria,,1,0.1,4
2021,9,IQ Primaria,Admin,1,0.0,1
2021,9,IQ Primaria,Estudiante,18,4.6,81
2021,9,IQ Primaria,,1,1.5,20
2021,10,IQ Primaria,Admin,1,0.0,2
2021,10,IQ Primaria,Docente,1,0.0,1
2021,10,IQ Primaria,Estudiante,13,1.9,46
2021,10,IQ Primaria,,1,0.9,18
2021,11,IQ Primaria,Admin,1,0.1,4
2021,11,IQ Primaria,Docente,21,0.7,28
2021,11,IQ Primaria,Estudiante,36,4.7,106
2021,11,IQ Primaria,Parent,11,0.3,13
2021,11,IQ Primaria,,1,1.1,15
2021,12,IQ Primaria,Admin,1,0.0,2
2021,12,IQ Primaria,Docente,5,0.4,10
2021,12,IQ Primaria,Estudiante,18,1.4,37
2021,12,IQ Primaria,Parent,5,0.4,11
2021,12,IQ Primaria,,1,0.5,12
2022,1,IQ Primaria,Docente,7,0.6,13
2022,1,IQ Primaria,Estudiante,18,2.0,54
2022,1,IQ Primaria,Parent,3,0.4,9
2022,1,IQ Primaria,,1,0.6,13
2022,2,IQ Primaria,Admin,1,0.0,1
2022,2,IQ Primaria,Docente,11,29.1,19
2022,2,IQ Primaria,Estudiante,42,235.7,97
2022,2,IQ Primaria,Parent,4,7.3,7
2022,2,IQ Primaria,,2,178.5,19
2022,3,IQ Primaria,Admin,1,0.0,2
2022,3,IQ Primaria,Docente,27,188.5,46
2022,3,IQ Primaria,Estudiante,83,696.0,167
2022,3,IQ Primaria,,1,73.2,16
2022,4,IQ Primaria,Admin,1,0.0,2
2022,4,IQ Primaria,Docente,93,683.0,160
2022,4,IQ Primaria,Estudiante,179,984.6,319
2022,4,IQ Primaria,Parent,3,7.2,4
2022,4,IQ Primaria,,2,141.5,20
2022,5,IQ Primaria,Admin,1,0.0,1
2022,5,IQ Primaria,Docente,115,919.4,216
2022,5,IQ Primaria,Estudiante,457,2818.8,1023
2022,5,IQ Primaria,Parent,2,5.8,3
2022,5,IQ Primaria,,2,252.6,19
2022,6,IQ Primaria,Admin,1,0.0,2
2022,6,IQ Primaria,Docente,46,192.5,72
2022,6,IQ Primaria,Estudiante,175,1054.1,348
2022,6,IQ Primaria,Parent,1,0.2,2
2022,6,IQ Primaria,,1,240.6,19
2022,7,IQ Primaria,Admin,1,3.0,4
2022,7,IQ Primaria,Docente,28,94.8,48
2022,7,IQ Primaria,Estudiante,112,291.5,172
2022,7,IQ Primaria,Parent,1,0.0,1
2022,7,IQ Primaria,,1,121.6,15
2022,8,IQ Primaria,Admin,1,0.1,4
2022,8,IQ Primaria,Docente,9,56.7,17
2022,8,IQ Primaria,Estudiante,52,231.6,104
2022,8,IQ Primaria,Parent,1,1.9,3
2022,8,IQ Primaria,,1,109.5,16
2022,8,IQ Secundaria,Admin,1,1.6,1
2022,8,IQ Secundaria,Editor,1,376.9,10
2022,8,IQ Secundaria,Estudiante,2,13.8,5
2022,9,512,Admin,1,0.2,1
2022,9,IQ Primaria,Admin,1,1.4,4
2022,9,IQ Primaria,Docente,27,48.1,33
2022,9,IQ Primaria,Estudiante,50,313.8,109
2022,9,IQ Primaria,,1,225.1,19
2022,9,IQ Secundaria,Admin,1,0.8,7
2022,9,IQ Secundaria,Docente,11,29.9,15
2022,9,IQ Secundaria,Editor,1,405.5,23
2022,9,IQ Secundaria,Estudiante,137,497.6,223
2022,9,IQ Secundaria,Invitado,9,55.5,12
2022,10,512,Admin,3,10.8,6
2022,10,512,Editor,1,461.2,18
2022,10,512,Estudiante,19391,63100.8,19420
2022,10,512,,1,0.8,1
2022,10,IQ Primaria,Admin,1,64.2,12
2022,10,IQ Primaria,Docente,24,157.4,38
2022,10,IQ Primaria,Estudiante,88,493.8,196
2022,10,IQ Primaria,Parent,1,5.4,1
2022,10,IQ Primaria,,1,424.5,21
2022,10,IQ Secundaria,Admin,1,15.7,9
2022,10,IQ Secundaria,Docente,52,393.7,95
2022,10,IQ Secundaria,Editor,1,346.9,16
2022,10,IQ Secundaria,Estudiante,355,3025.1,712
2022,10,IQ Secundaria,Invitado,17,130.3,23
2022,11,512,Editor,1,44.7,7
2022,11,512,Estudiante,16,94.4,20
2022,11,IQ Primaria,Admin,1,45.5,7
2022,11,IQ Primaria,Docente,42,254.6,65
2022,11,IQ Primaria,Estudiante,36,251.4,95
2022,11,IQ Primaria,Parent,3,6.8,4
2022,11,IQ Primaria,,1,211.6,17
2022,11,IQ Secundaria,Admin,1,57.4,5
2022,11,IQ Secundaria,Docente,49,472.1,93
2022,11,IQ Secundaria,Editor,1,182.7,15
2022,11,IQ Secundaria,Estudiante,296,1608.4,431
2022,11,IQ Secundaria,Invitado,22,156.7,38
2022,12,512,Admin,2,7.9,2
