Anio,Programa,usuarios_activos,horas_totales,registros
2021,IQP,99,25.5,553
2022,IQ512,19436,65096.8,19855
2022,IQP,1302,12679.3,3779
2022,IQS,964,8580.2,2035
2023,IQ512,4499,1244188.7,139918
2023,IQP,57221,340389.3,109813
2023,IQS,120646,844020.9,290446
2024,IQ512,3335,37458.1,33244
2024,IQP,11982,18033.1,22379
2024,IQS,73813,158028.1,239159
2025,IQ512,1141,1998.9,3050
2025,IQP,1684,2231.9,3007
2025,IQS,55821,101742.6,166797
2026,IQ512,804,3140.4,3411
2026,IQP,487,594.5,962
2026,IQS,65819,93941.4,160205
