Anio,Semestre,Programa,usuarios_activos,horas_totales,registros
2021,S1,IQP,13,5.6,105
2021,S2,IQP,96,20.0,448
2022,S1,IQP,978,8712.4,2673
2022,S2,IQ512,19436,65096.8,19855
2022,S2,IQP,390,3966.9,1106
2022,S2,IQS,964,8580.2,2035
2023,S1,IQ512,4110,1020323.3,108062
2023,S1,IQP,5292,23207.4,8864
2023,S1,IQS,52813,422033.2,133202
2023,S2,IQ512,3582,223865.4,31856
2023,S2,IQP,52219,317181.9,100949
2023,S2,IQS,69829,421987.7,157244
2024,S1,IQ512,1385,2324.4,3500
2024,S1,IQP,11565,17121.2,21168
2024,S1,IQS,69836,150440.7,226503
2024,S2,IQ512,2954,35133.7,29744
2024,S2,IQP,602,911.9,1211
2024,S2,IQS,5670,7587.4,12656
2025,S1,IQ512,1010,1678.8,2600
2025,S1,IQP,1501,1718.9,2386
2025,S1,IQS,51302,96445.7,156037
2025,S2,IQ512,285,320.1,450
2025,S2,IQP,248,513.0,621
2025,S2,IQS,5556,5296.9,10760
2026,S1,IQ512,753,3064.3,3282
2026,S1,IQP,434,559.4,792
2026,S1,IQS,64281,92784.8,155836
2026,S2,IQ512,98,76.0,129
2026,S2,IQP,66,35.2,170
2026,S2,IQS,2171,1156.6,4369
