Anio,Trimestre,Programa,usuarios_activos,horas_totales,registros
2021,Q1,IQP,5,1.1,23
2021,Q2,IQP,11,4.5,82
2021,Q3,IQP,21,7.5,143
2021,Q4,IQP,87,12.5,305
2022,Q1,IQP,168,1412.0,463
2022,Q2,IQP,868,7300.4,2210
2022,Q3,IQ512,1,0.2,1
2022,Q3,IQP,240,1499.2,549
2022,Q3,IQS,159,1381.7,296
2022,Q4,IQ512,19436,65096.6,19854
2022,Q4,IQP,185,2467.7,557
2022,Q4,IQS,870,7198.5,1739
2023,Q1,IQ512,3409,614727.0,59661
2023,Q1,IQP,742,3948.5,1156
2023,Q1,IQS,5556,20010.9,8208
2023,Q2,IQ512,3530,405596.3,48401
2023,Q2,IQP,4651,19258.9,7708
2023,Q2,IQS,49454,402022.3,124994
2023,Q3,IQ512,3499,221192.4,30475
2023,Q3,IQP,1125,5065.7,1656
2023,Q3,IQS,5873,24157.4,11984
2023,Q4,IQ512,657,2673.0,1381
2023,Q4,IQP,51547,312116.2,99293
2023,Q4,IQS,65122,397830.3,145260
2024,Q1,IQ512,583,636.4,1121
2024,Q1,IQP,4342,6344.9,8059
2024,Q1,IQS,10039,13675.6,22779
2024,Q2,IQ512,1087,1688.0,2379
2024,Q2,IQP,7931,10776.3,13109
2024,Q2,IQS,62777,136765.1,203724
2024,Q3,IQ512,2504,16197.3,14841
2024,Q3,IQP,375,447.3,628
2024,Q3,IQS,3479,4792.2,7769
2024,Q4,IQ512,2359,18936.4,14903
2024,Q4,IQP,285,464.5,583
2024,Q4,IQS,2451,2795.2,4887
2025,Q1,IQ512,783,1187.0,1645
2025,Q1,IQP,566,632.2,897
2025,Q1,IQS,8036,11411.8,18766
2025,Q2,IQ512,497,491.8,955
2025,Q2,IQP,997,1086.7,1489
2025,Q2,IQS,46191,85034.0,137271
2025,Q3,IQ512,186,207.8,268
2025,Q3,IQP,153,315.4,358
2025,Q3,IQS,3351,3199.3,6481
2025,Q4,IQ512,126,112.3,182
2025,Q4,IQP,121,197.5,263
2025,Q4,IQS,2414,2097.6,4279
2026,Q1,IQ512,94,78.4,136
2026,Q1,IQP,144,235.4,313
2026,Q1,IQS,7843,10040.5,17276
2026,Q2,IQ512,688,2986.0,3146
2026,Q2,IQP,310,324.0,479
2026,Q2,IQS,58635,82744.3,138560
2026,Q3,IQ512,98,76.0,129
2026,Q3,IQP,66,35.2,170
2026,Q3,IQS,2171,1156.6,4369
